,id,address,price,bedrooms,bathrooms,square_feet,city,zipcode,state,lat,lon,SHAPE
50,52,"1804 Alex Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",219900,3,4,2493,Mission,78572,TX,26.1921752660838,-98.3000278863447,"{'x': -98.30033472499997, 'y': 26.19217222800006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
51,53,"3206 Santa Laura Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",159000,3,2,1966,Mission,78572,TX,26.1686089215998,-98.2881325705988,"{'x': -98.28792161699994, 'y': 26.168573190000075, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
52,54,"109 San Jacinto St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",190000,4,5,2351,Mission,78572,TX,26.1821657255581,-98.2939099396608,"{'x': -98.29373101799996, 'y': 26.182183631000044, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
53,55,"1017 Rio Grande Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",199000,4,3,3146,Mission,78572,TX,26.1831665996536,-98.2926798293782,"{'x': -98.29186086799996, 'y': 26.183179605000078, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
54,56,"2100 Granite Ave Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",148000,4,2,1529,Mission,78572,TX,26.2198204,-98.2847372,"{'x': -98.28496756199996, 'y': 26.21983507400006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
55,57,"2217 Red River Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",629000,7,9,6298,Mission,78572,TX,26.1847229315217,-98.2966893449495,"{'x': -98.29665445799998, 'y': 26.184919758000035, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
56,58,"910 Country Club Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",70000,3,1,1495,Mission,78572,TX,26.2202913692092,-98.3145275565798,"{'x': -98.31379258999999, 'y': 26.220264729000064, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
57,59,"2905 San Rodrigo Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",263000,5,4,3343,Mission,78572,TX,26.1706348001789,-98.2999849601286,"{'x': -98.30000654999998, 'y': 26.17040647500005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
58,60,"1015 Burney St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",224000,4,4,2695,Mission,78572,TX,26.2187783409578,-98.33842319684,"{'x': -98.33844540299998, 'y': 26.218580300000042, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
59,61,"1413 Dora Jeanne Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",169000,3,3,1826,Mission,78572,TX,26.2172654010066,-98.3018747475283,"{'x': -98.30164008399998, 'y': 26.217206099000066, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
60,62,"1701 E 21st St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",155000,3,2,1885,Mission,78572,TX,26.2231858840739,-98.2988520864803,"{'x': -98.29874211299995, 'y': 26.223115713000027, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
61,63,"2800 Cassandra St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",375000,4,6,3018,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.28048342499994, 'y': 26.19894308100004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
62,64,"2221 Red River Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",589000,6,6,5717,Mission,78572,TX,26.1846379362312,-98.2973097180518,"{'x': -98.29740025899997, 'y': 26.184830429000044, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
63,65,"2300 Solera Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",2500000,8,11,11656,Mission,78572,TX,26.1787857995156,-98.2953305591807,"{'x': -98.29467268199994, 'y': 26.178177641000048, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
64,66,"1606 Toni Ln Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",123000,3,2,1314,Mission,78572,TX,26.2243716134598,-98.2992165582688,"{'x': -98.29926157099999, 'y': 26.22450271100007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
65,67,"210 S Stewart Rd Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",179000,4,3,2629,Mission,78572,TX,26.1997785607156,-98.3040991132297,"{'x': -98.30360377999995, 'y': 26.20253208200006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
66,68,"2118 Turtle Ln Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",139900,3,2,1666,Mission,78572,TX,26.2218088446828,-98.2906346792846,"{'x': -98.28879359699994, 'y': 26.22163666700004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
67,69,"201 S Grovewood Ave Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",399900,4,4,3446,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.28111836499994, 'y': 26.19939520400004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
68,70,"1907 Lake Point Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",126000,3,2,1200,Mission,78572,TX,26.1930484182559,-98.3499640581573,"{'x': -98.35001302699999, 'y': 26.193099287000052, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
69,71,"1608 Audrey Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",345000,3,3,2823,Mission,78572,TX,26.1951569221104,-98.3037466255707,"{'x': -98.30372582299998, 'y': 26.195300718000055, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
70,72,"4104 Santa Olivia St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",200000,4,3,2642,Mission,78572,TX,26.1622895131889,-98.3018620842513,"{'x': -98.30161113499997, 'y': 26.16224479600004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
71,73,"214 Driftwood Ave Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",199999,3,4,1795,Mission,78572,TX,26.2033314151652,-98.2816487651775,"{'x': -98.28183189399994, 'y': 26.202570727000023, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
72,74,"1110 Fairway Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",279900,4,3,2693,Mission,78572,TX,26.220955968027,-98.3088821881721,"{'x': -98.30885384299995, 'y': 26.22118262300006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
