Compare	Shape	Carat	Color	Clarity	Cut	Report	Origin	Price	 empty
Cushion	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.33	F	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.35	G	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.31	E	SI1	Good	IGI	Lab Created	$230	View
Cushion	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.32	G	VS2	Very Good	IGI	Lab Created	$230	View
Oval	0.30	F	VS2	Ideal	IGI	Lab Created	$230	View
Cushion	0.32	G	VS2	Very Good	IGI	Lab Created	$230	View
Cushion	0.34	G	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.30	F	VS2	Very Good	IGI	Lab Created	$230	View
Cushion	0.30	F	VS2	Very Good	IGI	Lab Created	$230	View
Cushion	0.31	E	SI1	Good	IGI	Lab Created	$230	View
Cushion	0.32	G	VS2	Very Good	IGI	Lab Created	$230	View
Marquise	0.31	D	SI2	Good	IGI	Lab Created	$230	View
Cushion	0.33	G	SI1	Very Good	IGI	Lab Created	$230	View
Emerald	0.32	I	VVS2	Very Good	IGI	Lab Created	$230	View
Pear	0.35	H	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.32	G	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.33	H	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.30	F	SI1	Good	IGI	Lab Created	$230	View
Pear	0.33	H	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.30	F	SI1	Good	IGI	Lab Created	$230	View
Pear	0.35	H	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.30	F	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.41	J	VS2	Very Good	IGI	Lab Created	$230	View
Radiant	0.39	I	VS1	Ideal	IGI	Lab Created	$230	View
Princess	0.45	J	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.35	G	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.34	H	VS2	Ideal	IGI	Lab Created	$230	View
Oval	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.30	G	VS1	Very Good	IGI	Lab Created	$230	View
Oval	0.33	E	SI2	Very Good	IGI	Lab Created	$230	View
Oval	0.32	F	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.30	F	VS2	Very Good	IGI	Lab Created	$230	View
Cushion	0.30	F	VS2	Very Good	IGI	Lab Created	$230	View
Cushion	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.32	F	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.33	I	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
