,listID,address,price,bedrooms,bathrooms,square_feet,city,zipcode,state,lat,lon,SHAPE
101,103,1601 E Gastel Cir,139500.0,2,3,1616,Mission,78572,TX,26.2218487797482,-98.3049963288145,"{'x': -98.3049963288145, 'y': 26.2218487797482, 'spatialReference': {'wkid': 4326}}"
102,104,3905 El Jardin,372900.0,5,4,3494,Mission,78572,TX,26.1710448927481,-98.2887130552078,"{'x': -98.2887130552078, 'y': 26.1710448927481, 'spatialReference': {'wkid': 4326}}"
103,105,1308 San Felipe Dr,223900.0,4,3,2313,Mission,78572,TX,26.2171655487913,-98.3053948766776,"{'x': -98.3053948766776, 'y': 26.2171655487913, 'spatialReference': {'wkid': 4326}}"
104,106,1008 Comanche St,145000.0,5,3,2869,Mission,78572,TX,26.206450755425,-98.4069356426267,"{'x': -98.4069356426267, 'y': 26.206450755425, 'spatialReference': {'wkid': 4326}}"
105,107,2316 Antigua Dr,3000000.0,5,8,12314,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
106,108,2509 Sequoia Dr,260000.0,3,2,3019,Mission,78572,TX,26.2168565927099,-98.2788691017656,"{'x': -98.2788691017656, 'y': 26.2168565927099, 'spatialReference': {'wkid': 4326}}"
107,109,516 Virgo St,145900.0,2,2,2025,Mission,78572,TX,26.2076567,-98.3006287,"{'x': -98.3006287, 'y': 26.2076567, 'spatialReference': {'wkid': 4326}}"
108,110,2705 Brock St,365000.0,3,4,3145,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
109,111,509 Venus St,119900.0,3,2,1326,Mission,78572,TX,26.2074857625085,-98.3035641657897,"{'x': -98.3035641657897, 'y': 26.2074857625085, 'spatialReference': {'wkid': 4326}}"
110,112,611 S Mina De Oro St,134900.0,3,2,1273,Mission,78572,TX,26.2063433228805,-98.360773442965,"{'x': -98.360773442965, 'y': 26.2063433228805, 'spatialReference': {'wkid': 4326}}"
111,113,2312 Red River Dr,279900.0,4,6,3676,Mission,78572,TX,26.1851570256219,-98.2971760751656,"{'x': -98.2971760751656, 'y': 26.1851570256219, 'spatialReference': {'wkid': 4326}}"
112,114,2406 San Alejandro,395000.0,4,5,3919,Mission,78572,TX,26.1753543505143,-98.3039124182418,"{'x': -98.3039124182418, 'y': 26.1753543505143, 'spatialReference': {'wkid': 4326}}"
113,115,413 Sagittarius St,119900.0,3,2,1995,Mission,78572,TX,26.2058690776464,-98.3066520743468,"{'x': -98.3066520743468, 'y': 26.2058690776464, 'spatialReference': {'wkid': 4326}}"
114,116,603 S Rancho Del Rey St,107900.0,3,2,1149,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
115,117,1503 Viejo Ln,199000.0,3,3,1974,Mission,78572,TX,26.1887059470985,-98.3112532529716,"{'x': -98.3112532529716, 'y': 26.1887059470985, 'spatialReference': {'wkid': 4326}}"
116,118,3505 Santa Sofia Ct,210000.0,4,3,3097,Mission,78572,TX,26.1669878479585,-98.2936439857927,"{'x': -98.2936439857927, 'y': 26.1669878479585, 'spatialReference': {'wkid': 4326}}"
117,119,2806 Santa Susana St,237000.0,5,5,3306,Mission,78572,TX,26.1744707795268,-98.2986717298752,"{'x': -98.2986717298752, 'y': 26.1744707795268, 'spatialReference': {'wkid': 4326}}"
118,120,2404 San Alejandro,352000.0,5,6,5187,Mission,78572,TX,26.1763400751101,-98.3049110948696,"{'x': -98.3049110948696, 'y': 26.1763400751101, 'spatialReference': {'wkid': 4326}}"
119,121,1401 Viejo Ln,199000.0,3,2,2582,Mission,78572,TX,26.1900445740786,-98.3110267134418,"{'x': -98.3110267134418, 'y': 26.1900445740786, 'spatialReference': {'wkid': 4326}}"
120,122,1104 Glenwood Ave,569000.0,4,6,4680,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
121,123,7730 Villa Rama South St,122000.0,4,3,2652,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
122,124,2808 Santa Susana St,255000.0,4,3,3512,Mission,78572,TX,26.1742166906398,-98.2987187050004,"{'x': -98.2987187050004, 'y': 26.1742166906398, 'spatialReference': {'wkid': 4326}}"
123,125,1517 E 2nd St,119900.0,3,2,1439,Mission,78572,TX,26.2043448823682,-98.3044555327742,"{'x': -98.3044555327742, 'y': 26.2043448823682, 'spatialReference': {'wkid': 4326}}"
124,126,1119 Ursula St,299000.0,4,4,3236,Mission,78572,TX,26.2218105374249,-98.3086318875063,"{'x': -98.3086318875063, 'y': 26.2218105374249, 'spatialReference': {'wkid': 4326}}"
125,127,1103 Travis St,619000.0,5,5,5158,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
126,128,2809 Santa Monica,276500.0,5,4,3226,Mission,78572,TX,26.1744863,-98.3005687,"{'x': -98.3005687, 'y': 26.1744863, 'spatialReference': {'wkid': 4326}}"
127,129,3607 Santa Maria St,279000.0,4,4,3597,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
128,130,1402 Betty Dr,225000.0,4,3,2362,Mission,78572,TX,26.2162163841972,-98.3034116948149,"{'x': -98.3034116948149, 'y': 26.2162163841972, 'spatialReference': {'wkid': 4326}}"
129,131,3010 San Sebastian St,195000.0,4,3,2070,Mission,78572,TX,26.1573480568863,-98.3001374865297,"{'x': -98.3001374865297, 'y': 26.1573480568863, 'spatialReference': {'wkid': 4326}}"
130,132,1400 Mockingbird Ave,334900.0,4,5,3923,Mission,78572,TX,26.2137183,-98.2808201,"{'x': -98.2808201, 'y': 26.2137183, 'spatialReference': {'wkid': 4326}}"
131,133,3405 Santa Monica,196500.0,3,2,2044,Mission,78572,TX,26.1689426528786,-98.3015640049654,"{'x': -98.3015640049654, 'y': 26.1689426528786, 'spatialReference': {'wkid': 4326}}"
132,134,1616 Palazzo,1395000.0,4,5,6106,Mission,78572,TX,26.1888713546244,-98.3037617271251,"{'x': -98.3037617271251, 'y': 26.1888713546244, 'spatialReference': {'wkid': 4326}}"
133,135,4100 San Clemente,379000.0,4,4,3450,Mission,78572,TX,26.1711989478394,-98.2870700294565,"{'x': -98.2870700294565, 'y': 26.1711989478394, 'spatialReference': {'wkid': 4326}}"
134,136,4205 San Roman St,275000.0,5,5,3264,Mission,78572,TX,26.1665069870635,-98.2865302080678,"{'x': -98.2865302080678, 'y': 26.1665069870635, 'spatialReference': {'wkid': 4326}}"
135,137,1803 River Bend Dr,174000.0,2,3,2144,Mission,78572,TX,26.1924826972586,-98.3500924029275,"{'x': -98.3500924029275, 'y': 26.1924826972586, 'spatialReference': {'wkid': 4326}}"
136,138,3709 Santa Olivia St,370000.0,5,4,4576,Mission,78572,TX,26.1665194663758,-98.3007542052396,"{'x': -98.3007542052396, 'y': 26.1665194663758, 'spatialReference': {'wkid': 4326}}"
137,139,2501 San Efrain,349000.0,5,4,4366,Mission,78572,TX,26.1742200360951,-98.3041692827422,"{'x': -98.3041692827422, 'y': 26.1742200360951, 'spatialReference': {'wkid': 4326}}"
138,140,903 Colorado Ct,169000.0,3,2,1885,Mission,78572,TX,26.1918476139572,-98.2902883108949,"{'x': -98.2902883108949, 'y': 26.1918476139572, 'spatialReference': {'wkid': 4326}}"
139,141,514 Aquarius St,118000.0,2,2,1468,Mission,78572,TX,26.2083115696292,-98.3057285783818,"{'x': -98.3057285783818, 'y': 26.2083115696292, 'spatialReference': {'wkid': 4326}}"
140,142,1918 Sparrow Ln,235000.0,4,3,2785,Mission,78572,TX,26.1952049740795,-98.3751847218949,"{'x': -98.3751847218949, 'y': 26.1952049740795, 'spatialReference': {'wkid': 4326}}"
